#
#"epsr"	"Line Impedance [Ohm]"
#---------------------
3.0000000000000	116.99109845680
3.1052631578947	115.51047565867
3.2105263157895	114.08467987847
3.3157894736842	112.71040232025
3.4210526315789	111.41088291130
3.5263157894737	110.05024674935
3.6315789473684	108.81277168182
3.7368421052632	107.61705440565
3.8421052631579	106.45989261674
3.9473684210526	105.37110151444
4.0526315789474	104.28517450104
4.1578947368421	103.23349763577
4.2631578947368	102.20321785669
4.3000000000000	101.86655026147
4.3684210526316	101.25607508807
4.4736842105263	100.29165211389
4.5789473684211	99.355142578537
4.6842105263158	98.440662016100
4.7894736842105	97.554461403824
4.8947368421053	96.698921496326
5.0000000000000	95.859902618916
